id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat|lat|lon|uuid
1|Lope de Vega|La viuda valenciana|30 de marzo de 2023|Adrián Novella|La Valenciana||Teatro Rialto de Valencia||39.4710227|-0.3763002|abcda10d-e1ca-4c7b-bb04-36cb94e832bc
2|Lope de Vega|Fuenteovejuna|30 de junio de 2023|Mariano de Paco Serrano|Teatro Círculo||Corral Cervantes de Madrid||40.3940876|-3.6994792|acd6a061-3625-44e2-8d58-7b72de0f16d0
3|Lope de Vega|Lo fingido verdadero. Historia de San Ginés, mártir y comediante; La finzione veritiera|22 de julio de 2022|Luca Vonella|Teatro a Canone|Festival internacional de Teatro Clásico de Almagro|Teatro Municipal de Almagro, Ciudad Real||38.8903455|-3.7117528|154e33a4-dcf9-4b4d-8028-ffa7122b0348
4|Lope de Vega|Lo fingido verdadero|1 de febrero de 2022|Lluís Homar|Compañía Nacional de Teatro Clásico,CNTC||Sala Princioa del Teatro de la Comedia de Madrid||40.4155336|-3.7003923|1c6df55d-80e9-426f-85a5-e81f4aee092c
5|Lope de Vega|La malcasada|14 de julio de 2022|Ana Vélez|Tumbalobos Teatro|Festival internacional de Teatro Clásico de Almagro|Teatro Municipal de Almagro, Ciudad Real||38.8903455|-3.7117528|bc286394-a903-429c-948b-d622343ee143
6|Lope de Vega|La hermosa fea|17 de junio de 2022|Gabriel García y Daniel Acebes|Diágoras Producciones|Festival Clásicos en Alcalá|Centro Sociocultural Gilitos de Alcalá de Henares, Madrid||40.4921751|-3.3666232|343f8c88-1062-4aa4-aafc-76d808e4f3e4
7|Lope de Vega|La discreta enamorada|20 de mayo de 2022|Manuel Carcedo Sama|Karpas Tratro||Teatro Karpas de Madrid||40.410462|-3.697682|e686f386-a9b5-4a0a-a401-c1add587db42
8|Lope de Vega|La dama boba|3 de julio de 2022|Rodrigo Arribas|Fundación Siglo de Oro|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias de Alcalá de Henares, Madrid||40.4822922|-3.3645504|1f6807a6-b70d-4234-a14e-29ed1b2003c1
9|Lope de Vega|El Perro del Hortelano|15 de julio de 2022|Hugo Giachino|Stayin' alive|Festival internacional de Teatro Clásico de Almagro|Casa Palacio de los Villarreal de Almagro, Ciudad Real||38.8885331|-3.7148567|7e7ee511-e6ef-40c8-92f0-56496b79954f
10|Lope de Vega|El marqués de las Navas|19 de junio de 2022||Factoría Teatro|Festival Clásicos de Alcalá|Teatro Salón Cervantes de Alcalá de Henares, Madrid||40.4834571|-3.3661106|4cf65709-932d-447e-a647-744ab52ac6a6
11|Lope de Vega|El amor enamorad|22 de julio de 2022|Borja Rodríguez|Mic Producciones Teatrales|Festival internacional de Teatro Clásico de Almagro|Antigua Universidad Renacentista de Almadro, Ciudad Real||38.8915937|-3.7148261|9c8b6fde-9d6b-41ee-9d33-f7ba8a7f7d2d
12|Lope de Vega|Arte nuevo de hacer melindres en estos tiempos|28 de julio de 2022|Juan Polanco|Cía Kazo Teatro||Sala Nave 73 de Madrid||40.403178|-3.6987581|d3be2718-3d00-438f-86df-e9fa9a12b012
13|Lope de Vega|Peribáñez y el comedor de Ocaña|29 de enero de 2021|Eduardo Vasco|Noviembre Teatro||Teatro Calderón de Valladolid||41.6539837|-4.7246809|f053dc7d-1ac7-4d91-954f-8db63471cd3e
14|Lope de Vega|Los guanches de Tenerife y conquista de Canaria|24 de junio de 2021|Jesús Román|Cía. Garcilasos||||||ddf1cbd4-0242-45d2-98d5-052f4b998bbf
15|Lope de Vega|Las bizarrías de Belisa|23 de julio de 2021|Antonio Alcalde|Clásicos on the Road|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias||40.4451582|-3.5339127|9ebd0c55-b33b-43cd-beb0-623f10956346
16|Lope de Vega|La boba para los otros|8 de octubre de 2021|Rafael Rodríguez|2Rc Producciones|Festival iberoamericano del Siglo de Oro, Festival de Teatro Clásico de Olmedo|Teatro Pérez Galdós de Las Palmas de Gran Canaria||28.1034923|-15.4138437|cf19b973-e000-42a5-bd96-38a1a1b45f16
17|Lope de Vega|Fuenteovejuna, historia de un maltrato|16 de octubre de 2021|Marianella Morena|La Morena; Jóvenez Clásicos||Teatro del Títere de la Tía Norica de Cádiz||36.5321162|-6.2977584|3dffeb66-7ec7-4bfe-aa63-aee0e46d1c13
18|Lope de Vega|El Perro del Hortelano|2 de julio de 2021|Paco Mir|Vània Produccions; Sofía Aguilar Producciones de Arte|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias de Almagro, Ciudad Real||38.8884394|-3.7119119|3961fee9-406f-403e-8507-7eb5affcdf19
19|Lope de Vega|El Perro del Hortelano|3 de abril de 2021|Dominic Dromgoole|Fundación Siglo de Oro||Verde de los Teatros del Canal de Madrid||40.438279|-3.7051836|63378561-5e6a-40ff-b918-82800882fc36
20|Lope de Vega|El Caballero de Olmedo|16 de junio de 2021|Pedro Luis López Bellot|Producciones La Barraca & Cía.|Festival de Teatro Clásico de Cáceres|Plaza de las Veletas de Cáceres||39.4732379|-6.3702347|aada1523-7900-4c7b-ae2b-a7af1e366469
21|Lope de Vega|El animal de Hungría|12 de junio de 2021|Ernesto Arias|Colectivo Allatok; EscénaTe||Corral de Comedias de Alcalá de Henares, Madrid||40.4822922|-3.3645504|605a553f-a61b-43c1-960c-877897611af6
22|||||||||||2c0bf0f6-7068-4b18-ab53-8827aa597f9f
23|Lope de Vega|Distrito Fuenteovejuna|Verano 2020|Francisco Valcarce|Movimiento Sempiterno||???||40.4160512|-3.6929536|0ee5e483-50f0-4ca3-8896-464d6fff7bcd
24|Lope de Vega|Canciones de Olmedo|15 de noviembre de 2020|José Carlos Cuevas|Jóvenes Clásicos|Festival LA ESCENA 2020|Online. Grabado en el Teatro del Soho, Málaga||36.7108625|-4.4294363|647ee4e1-93e2-4cbd-a679-e92d90b2382d
25|Lope de Vega|Arte nuevo de hacer teatro para jóvenes de nuestro tiempo; Eco y Narciso; Valor, agravio y mujer; Fuenteovejuna|4 de marzo de 2021|Mariano Estudillo|Joven Compañía Nacional de Teatro Clásico, JCNTC|"Festival de Teatro Clásico de Almagro
"|sala Tirso de Molina del Teatro de la Comedia de Madrid||40.4155336|-3.7003923|835bca4d-4a62-475d-a719-e59dfa6bcdfe
26|Lope de Vega|Peribáñez y el comedor de Ocaña|15 de septiembre de 2020|del Colectivo|Dragoi Zuria||||||9cd99e69-f9e8-4b77-98d4-790c00892c81
27|Lope de Vega|Ni come, ni deja comer|18 de julio de 2020|José Luis Pineda Ortega|Asociación Cultural Teatral A Escena|"Festival de Teatro Clásico de Almagro
"|"Dentro de la programación de Barroco Infantil Online del Festival de Teatro Clásico de Almagro
"||38.8888239|-3.7111408|65e3cb2c-b1e6-4f10-bcfa-7c75c6442f97
28|Lope de Vega|Mujeres del Siglo de Oro|||????????????||||||c19dd476-8269-4095-a9c3-776b87aa181d
29|Lope de Vega|La selva sin amor|18 de julio de 2020|Jesús Caballero|La Máquina Real|"Festival de Teatro Clásico de Almagro
"|Palacio de los Oviedo de Almagro||38.8885331|-3.7148567|ee95bccf-0182-4ccb-aa3c-fdaf266a6eef
30|Lope de Vega|La discreta enamorada|19 de julio de 2020|Javier Mañón|Corrales de Comedias Teatro S.L|"Festival de Teatro Clásico de Almagro
"|Palacio de los Oviedo de Almagro||38.8885331|-3.7148567|055a5f6b-7edc-4ef7-a0a1-3731ef9dfda4
31|Lope de Vega|El discreto enamorao|29 de enero de 2020|Inés Muñoz|Las monstruas|Ciclo Clásicos en Enero, Murcia|Teatro Circo Murcia||37.9877971|-1.1281103|15a68ef2-7ffb-4f03-8bac-d16b9a5608c5
32|Lope de Vega|Castelvines y Monteses|16 de octubre de 2020|Sergio Peris-Mencheta|Barco Pirata; Compañía Nacional de Teatro Clásico.CNTC||Logroño||42.4602928|-2.4483627|bef2bd1d-96d9-41a0-b746-f0ae3319d470
33|Lope de Vega|Todas las guerras|||Joven Compañía Nacional de Teatro Clásico, JCNTC||||||38e6de8a-fd4c-4218-a8b1-1b5d4b9c82e5
34|Lope de Vega|María Estuardo. Corona trágica|27 de julio de 2019|Manuel Canseco|Compañía Manuel Canseco|"Festival de Teatro Clásico de Almagro
"|Almagro, Ciudad Real||38.8888239|-3.7111408|6e0031fc-dac1-499f-ab4d-f3ae14e6a8ef
35|Lope de Vega|Los locos de Valencia|15 de febrero de 2019|Antonio Algarra|Compañía Profesional de la Escuela Nacional de Arte Teatral, INBAL||La Corrala del Mitote, México||19.3541834|-99.1414052|1bac5383-3cec-4a3d-9726-0a29a53d01b1
36|Lope de Vega|La viuda Valenciana|12 de julio de 2019|Borja Rodríguez|Mic Producciones Teatrales|"Festival de Teatro Clásico de Almagro
"|Palacio de los Oviedo de Almagro (Ciudad Real)||38.8885331|-3.7148567|4020358a-4335-4662-aabe-b06b765cc964
37|Lope de Vega|La dama boba|8 de julio de 2019|Antonio Alcalde|Clásicos on the Road|"Festival de Teatro Clásico de Almagro
"|Ermita de la Magdalena de Almagro (Ciudad Real)||38.8844811|-3.7098712|9b0a167e-9211-4eb3-b088-e76f5385ebc6
38|Lope de Vega|La dama boba|26 de mayo de 2019|Victoria Savelieva|Olympia Metropolitana S.A||TAC Catarroja, Valencia||39.4034449|-0.4095795|1c7541ad-e93d-4054-b89d-73c835a9e850
39|Lope de Vega|Fuenteovejuna o el coraje de las mujeres; Fuenteovejuna, el valor de las mujeres|12 de julio de 2019|Vagba Oboud de Sales y Luis Marqués|Alma Production|"Festival de Teatro Clásico de Almagro
"|Patio de Fúcares de Almagro (Ciudad Real)||38.8899191|-3.709986|7ec5d0d1-f023-4917-a622-6c441706d2d0
40|Lope de Vega|El perro del Hortelano|5 de julio de 2019|José Vicente Gómez|El Taular Teatro|"Festival de Teatro Clásico de Almagro
"|En un coche Mercedes en Almagro||39.6950163|-3.4636674|d0ebd0e5-c117-4779-9640-1e3488bf9685
41|Lope de Vega|El perro del Hortelano|10 de agosto de 2019|Iker Ortiz de Zárate|Ortzai||||||4ec32db7-dd08-4f08-8786-e444923c1e6f
