Autor/a (atribución tradicional),Atribución actual,Obra en español,Obra,Compañía,País,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena / Diseño gráfico / Fotografía,Vestuario / Maquillaje,Movimiento,Producción,Lugar de estreno
Miguel de Cervantes,,Ay! Quijote; Don Quijote,Ay! Quixote ,Teatro Malandro,Suiza,"Marco Sabbatini, Omar Porras",30/10/2001,,"Es el último de los caballeros andantes y el primer héroe de la literatura moderna: Don Quijote de la Mancha, cuyo verdadero nombre es Alonso Quijano. Es el más fiel de todos los escuderos, a pesar de su legendaria torpeza: Sancho Panza. Es la más bella, la más ideal y… la más inexistente de las mujeres: Dulcinea del Toboso. Con estos tres personajes, Cervantes nos sumerge en un universo poético que nunca ha dejado de atormentar nuestra imaginación.

Una adaptación libre pero fiel de una obra maestra de la literatura universal. Un viaje a los sueños, a las profundidades de nuestra psique, más allá de la luz y la oscuridad, donde la locura se convierte en pura poesía.",https://malandro.ch/spectacle/ay-quixote-dapres-miguel-cervantes-saavedra/,Omar Porras,Fredy Porras,"Anne-Cécile Moser, Caroline Filipek, Caroline Weiss, Cathy Jane Emmanuelle, Claire Delaporte, Emiliano Suárez, Isabelle Turschwell, Joan Mompart, Philippe Gouin, Juan Antonio Crespillo, Elidan Arzoni, Madeleine Assas, Jean-Marc Bassoli, Stéphanie Wahli, Omar Porras","Jean-Marc Bassoli, Laurent Prunier","Robert Clerc, William Fierro, Omar Porras, Andrés García, José Luis Asaresi",,Maria Galvez,,Teatro Malandro,Théâtre de Vidy (Lausanne)
Miguel de Cervantes,,Don Quijote. El rufián viudo. El retablo de las maravillas. El juez de los divorcios y La cueva de Salamanca,Don Chisciotte. Il magnaccia vedovo. Il teatro delle meraviglie. Il giudice dei divorzi y La grotta di Salamanca ,"Fondazione Teatro Due Cavallerizza, Teatri di Reggio Emilia",Italia,Henning Brackhaus,26/04/2002,,,https://archivioiteatri.archiui.com/browse/evento?s=2002&filtro=common%7Cb1cab6f4570944070922920ad2ce02c6%7CEvento%7C%2FtipologiaOccurrence%2FEvento&sort=on&page=3,Henning Brackhaus,Ezio Toffolutti,"Michele De Marchi, Luca Fagioli, Laura Mazzi, Laura Cleri, Caterina Corsi ,Giorgia Cardaci, Alessia Marziano, Valentina Virando, Francesca Rinaldi, Silvia Trentini, Andrea Simonetti, Massimiliano Sozzi, Luca Fazzari, Emiliano Masala, Paola de Crescenzo, Tania Rocchetta, Cristina Odasso, Caterina Carpio, Cristina Cattellani, Elisa Lucarelli, Fabio Marchisio, Luca Di Prospero, Giorgia Bocelli, Cecilina Salvini, Paola De Marci, Andrea Fagioli, Elisa Mazzi, Cristina Corsi",Claudio Coloretti,,,Patricia Toffolutti,,"Fondazione Teatro Due Caballerizza, Teatri di Reggio Emilia",Teatro Cavallerizza (Reggio Emilia)
Miguel de Cervantes,,Un Cervantes integral,Un Cervantes Integral,"Teatro Stabile de Turín, Fondazione Teatro Due, Teatri di Reggio Emilia",Italia,Henning Brackhaus,20/10/2002,,,,Henning Brackhaus,,,,,,,,"Teatro Stabile de Turín, Fondazione Teatro Due, Teatri di Reggio Emilia",Teatro Astra (Turín)
Miguel de Cervantes,,El viejo celoso,El viejo celoso,"Venezia Inscena, Reymala","Italia, Canarias",Adriano Iurissevish,18/11/2017,"Festival Internacional de Teatro Clásico de Almagro, 15-16 de julio de 2016","Desde cuando fui miembro y director musical del Tag Teatro de Venecia (y fuimos tres veces
invitados en Almagro en los 80) la Commedia dell’Arte ha sido presencia constante, guía y
referencia de mi vida teatral, aun practicando otros estilos.
¿Dónde, mejor que en Comedia, el actor se enfrenta con la necesidad y el sentido del estar en escena? ¿Dónde, mejor que en Comedia, se representan y ásperamente se critican límites, miedos y bajezas humanas, sin condenas, si no con el arma de la risa y con la sonrisa de la comprensión? La Commedia dell’Arte es la Comedia al estado de esencia y energía primordial, una “armonía de varios lenguajes” universalmente comprensible, en un juego desvelado y común entre actor y espectador, al
interior de la fiesta.
La idea de poner el entremés de Cervantes en forma de Commedia dell’Arte nace de la muy
fuerte similitud entre Cañizares y Pantalón.
Desde la comedia de Menandro el viejo enamorado es un clásico de la dramaturgia popular y culta de todos los tiempos y se encuentra en las culturas literarias y teatrales de todo el mundo.
La discrepancia entre su condición de viejo y la fuerza de su deseo sexual, que transciende toda
llamada a una templada sabiduría, a menudo será causa de desgracia, siempre de ridículo. El viejo,
como en el caso de nuestro Pantalón, se dejará melancólicamente reconducir a la razón, en espera de volver a lo mismo, porque una cosa es la razón, otra el deseo, que no conoce ni lógica ni edad:
condición humana de sufrimiento.
Además de Pantalón, en escena se encuentran las otras máscaras de la Commedia dell’Arte:
Arlequín, Franceschina, Capitán, Doctor,
Enamorados, en un paisaje de amores, enredos, disfraces, transformaciones, golpes de efecto y reconocimientos.",,Adriano Iurissevich,Stefano Perocco di Meduna,"Adriano Iurissevich, Massimo Scola, Rossana Mantese, Daniel Tapia Alberto, Lorena Matute Rojas",Dimas Cedres,,,Stefano Perocco di Meduna,Nelly Quette,"Veneziainscena, Reymala",Teatro Leal de San Cristóbal de La Laguna (Tenerife)
Miguel de Cervantes,,Quijote; Don Quijote,Quijote,"Théâtre du Fust, Comédie-Française",Francia,Émilie Valantin,2008,,,,Émilie Valantin,Eric Ruf,"Michel Favory, Grégory Gadebais, Isabelle Gardieu",,,,,,Théâtre du Fust,Comédie Française
Miguel de Cervantes,,Buscando al Quijote; Don Quijote,Looking for Quichotte,Compagnie Vladimir Steyaert,Francia,Vladimir Steyaert,14/10/2016,,"Transformar el mundo con el sueño

Hoy, Don Quijote también representa para mí la voluntad de transformar el mundo a través de la imaginación y el sueño. Es muy difícil discernir lo que, en el Caballero de la Triste Figura, es una locura suave o un aspecto visionario. ¡Y no importa!

El héroe de Cervantes rompe con la visión única de la realidad al divicarla entre lo que realmente está frente a sus ojos y lo que cree ver. Por lo tanto, esto permite abrir nuevos campos de percepción y sentimiento y se une plenamente a mi enfoque artístico, a saber: hacer que lo carnal y lo virtual, lo concreto y lo sugerido, lo real e imaginario se unan en un mismo espacio de juego.

Hacia la utopía

Es al conocer la escritura de Charles-Eric Petit que me pareció obvio encargarle un texto que cuestionaba la figura de Don Quijote en nuestro mundo globalizado. Así nació el texto “Looking for Quichotte”.

Montar Quijote, en una sociedad que tiene muchas dificultades para inventar nuevas utopías colectivas, es un gesto político y plantea muchas preguntas:

¿No es un gesto artístico irrisorio destacar la poesía y la fábula en un platón de teatro?

¿Qué luchas libraría Don Quijote a principios del siglo XXI?

¿Cómo se situaría en relación con el mundo de las finanzas y las nuevas tecnologías cada vez más omnipresentes en nuestra vida cotidiana?

Y sobre todo, ¿cómo serían percibidas sus acciones por nuestros contemporáneos?",https://www.compagnievlast.com/spectacles/looking-for-quichotte,Vladimir Steyaert,,"Roger Atikpo, Tommy Luminet, Frank Gazal",,,,,,,Espace Albert Camus de Chambon-Feugerolles. Saint-Étienne
Miguel de Cervantes,,Quijote; Don Quijote,Quichotte,"Théâtre Nanterre-Amandiers, Centre Dramatique National",Francia,"Didier Galas, Aline Schulman",13/01/2006,,,https://nanterre-amandiers.com/saisons/saison-2005-2006-2/,Didier Galas,Vincent Veaurin,"Simon Bellouard, Rodolphe Blanchet, Marion Duquenne, Franck Gazal, Aurélie Tardy",,,,Vincent Veaurin,,"Théâtre Nanterre, Amandiers, Centre Dramatique National",Théâtre Nanterre-Amandiers
Miguel de Cervantes,,Don Quijote,Don Quichotte,Caban Théâtre,Francia,Almudena Ruiz Rey,13/07/2005,"Festival Internacional de Teatro Clásico de Almagro, 13 de julio de 2005","Cuando decidí montar este espectaculo, lo más importante para mí no era ilustrar la archiconocida imagen de Don Quijote, sino el penetrar en su mundo interior, un mundo poético y absurdo, lleno de magia y de locura.
Quería ver a Don Quijote con otros ojos, más allá del estereotipo, para poder experimentar sin prejuicios.
El elegir a una mujer para interpretar este personaje, me permitía liberarme de la imagen a la cual nos hemos habituado a lo largo de los siglos para explorar un lugar al que solo tienen acceso los locos y los niños. Un universo único, donde los molinos pueden transformarse en gigantes y las posadas en castillos.",,Almudena Ruiz Rey,,"Laurence Caron, Marianne Torossian Ama, James Overton, François Marcillac, Séverine Lebrun, Yvette Chochois, Emilie Bourgain, Laura Boutoille, Amandine Bozelli, Juliette Lacrampe, Jenny Picot",,"Jean Christophe Duval, Olivier Greuez",Yves Gobaut,Asociación 100% Sation,Cindy Picot,Caban Théâtre,Corral de Comedias de Almagro
Miguel de Cervantes,,En algún lugar... La Mancha (a partir de la obra El Quijote de Miguel de Cervantes); Don Quijote,Somewhere... La Mancha (a partir de la obra El Quijote de Miguel de Cervantes),Irina Brook,Francia,Irina Brook,2015,"Festival Internacional de Teatro Clásico de Almagro, 3-4 de julio de 2009","A lo largo de dos años he buscado, deliberado, cambiado de opinión millones de veces, intentando encontrar un buen proyecto para continuar con las aventuras de la Compañía Irina Brook, después del placer que hemos tenido, y que tenemos todavía, con nuestra pequeña producción del Sueño de una noche
de verano (Esperando el Sueño).
Diréis quizás que esto es porque soy inglesa, pero la vida es difícil después de haberla compartido algunos años con Shakespeare. Se mima y se quiere todo: la universalidad, el humor, la humanidad, la emoción, la ligereza, la profundidad... Lo que me interesa, junto con mis compañeros de teatro, es la búsqueda de este hecho de compartir con el público, esta idea que todos nuestros proyectos puedan ser verdaderamente accesibles al conjunto de las clases de público teatral, sin ninguna distinción.
Quiero pensar que una familia puede venir junta a ver un espectáculo que no es para nada un espectáculo para niños, pero que, gracias a la universalidad del texto y de los temas, puede ser apreciado a niveles diferentes por todas las edades. Quiero que el teatro rompa la noción de los públicos categorizados. Para mí, los espectadores somos nosotros, es la vida de todos los días, es todo el mundo.
Este preámbulo necesario nos trae directamente a la idea de Don Quijote. Como la mayor parte de la gente, tenía la impresión de conocer esta historia de memoria, sin verdaderamente conocerla del todo. Por como ha entrado en nuestro subconsciente colectivo, el personaje protagonista se convierte en un adjetivo. A menudo tenemos todos la impresión de luchar contra los molinos. Es la imagen ineludible de nuestros sueños, nuestras esperanzas y nuestras ilusiones, de las más banales a las más importantes. Pero, más allá de las aventuras excéntricas y caballerescas del personaje, lo que nos impresiona, desde que nos zambullimos en el extraordinario relato de Cervantes, es la modernidad del tema, y la vitalidad, (¡muy shakespeariana, por otra parte!) del texto. Con seis actores (una bailarina de flamenco y un acordeonista acróbata); hemos
empezado con jornadas de improvisación y de búsqueda alrededor de las
aventuras de Don Quijote y Sancho Panza.
Una especie de tierra de nadie, mitad España del siglo XVII, mitad roadmovie
americana…
No estamos más que al principio del viaje y mucho de nuestro trabajo estará
basado a partir improvisaciones rescritas más tarde por Marie-Paule Ramo. Por
lo que es difícil a día de hoy dar indicaciones más precisas. Pero lo que es seguro,
es que la materia está hecha de la riqueza teatral del sueño.",,Irina Brook,Noëlle Ginefri,"Lorie Baghdasarian, Jerry Di Giacomo, Gérald Papasian, Christian Pélissier, Augustin Ruhabura, Bartlomiej Soroczynski",Arnauld Jung,"Julien Vallespi, Vincent Bonzom",,Daisy Dover,,"Maison de la Culture de Nevers, NièvreCoproducció de Théâtre du Vésinet, Villeneuve en Scène, Villeneuve-lès-Avignon",Théâtre National de Nice
Miguel de Cervantes,,Don Quijote-Una obra de sueños según Telemann,Don Quijote-Una obra de sueños según Telemann,Theater des Lachens,Alemania,Frank Söhnle,19/09/2013,"Festival Internacional de Teatro Clásico de Almagro, 20 de julio de 2015","Es la increíble historia del bibliófilo español Alonso Quijano, que un día recibió el nombre de Don Quijote de la Mancha y decidió salvar al mundo del mal. Un juego acerca del poder de la imaginación de la Suite Don Quijote de Georg Philip Telemann, interpretada en directo por el cuarteto de cuerda Con Mot (t) de la Orquesta de Brandemburgo.
Las cortinas ondeantes pueden recrear figuras y fragmentos del personaje de Miguel de Cervantes y su encuentro con los molinos de viento, como una lucha entre el sueño y la realidad. Don Quijote llenó su imaginación de elementos que encontró en sus libros, como hechizos e intercambios de palabras, batallas, heridas, halagos, amor, angustia y locuras imposibles. Creyó con firmeza que todas las fantasías que leía eran reales, por lo que no había para él en el mundo ningún relato fidedigno.",https://www.theaterdeslachens.de/de/detail-repertoir/don-quijote-ein-traumspiel-nach-telemann,Frank Söhnle,Frank Söhnle,"Irene Winter, Björn Langhans, Arkadius Porada",Andre Nowka,Georg Philipp Telemann,Björn Langhans,Team,,Theater des Lachens,Teather des Lachens de Frankfurt
