Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Lope de Vega,,La viuda valenciana,2023,La Valenciana,Adrián Novella,30 de marzo de 2023,,"En la ciudad de València, en la zona de La Zaidía, se encuentra el palacio de una joven viuda, Leonarda. Una mujer encerrada en su casa, no tanto por pasar el duelo, sino por evitar volver a atarse y a someterse a un hombre, y por disfrutar de sus grandes pasiones: la literatura y el juego de la pelota. Únicamente entran hombres al patio de su casa precisamente para jugar a pilota en los días festivos en los que transcurre la acción; días en que el invierno se acaba, se acerca la primavera y esto se celebra con carnavales y hogueras.

Lope de Vega nos presenta una mujer dueña de su casa, intelectual y con apetito sexual, que no tiene ningún problema en rechazar pretendientes y en meter a oscuras, entre sus muros, a un joven jugador galán, en contra de su tío, que pretende casarla cuanto antes.",https://cialavalenciana.com/la-vidua-valenciana/,Adrián Novella,Luis Crespo,"Joan Isern, Antonio Lafuente, Mar Mandli, Raquel Molano y Jorge Silvestre",Ximo Olcina,,,Mercedes Rubio,Alejandra García,La Valenciana,Teatro Rialto de Valencia,
Lope de Vega,,Fuenteovejuna; Fuente Ovejuna,2023,Teatro Círculo,Mariano de Paco Serrano,30 de junio de 2023,,Un líder corrupto... Una mujer inquebrantable... Un pueblo harto... Una historia convincente de empoderamiento comunitario. ,https://teatrocirculo.org/fuente-ovejuna/,Mariano de Paco Serrano,,"Juan Luis Acevedo, María Fontanals, José Cheo Oliveras, Fernando Gazzaniga, Eva Vásquez, Gemma Ibarra, Daniel Alonso y Pablo Andrade",,,,,,Teatro Círculo,Corral Cervantes de Madrid,
Lope de Vega,,"Lo fingido verdadero. Historia de San Ginés, mártir y comediante; La finzione veritiera",2022,Teatro a Canone,Luca Vonella y Chiara Crupi,22 de julio de 2022,Festival internacional de Teatro Clásico de Almagro,"Ginés, estimado actor y comediante, en el año 303 d.C, el mimo romano fue encargado de escenificar la farsa del rito bautismal de los cristianos, por aquellos tiempos perseguidos cruelmente. Mientras representaba la obra ante el emperador Diocleciano, sobrevino en él una crisis mística y en medio de la actuación Ginés se convirtió al cristianismo, improvisando oraciones e himnos a Jesús.

Todo sucede entre la ficción teatral y la realidad, que en este caso raro se solapan. Tras el espectáculo la compañía fue arrestada. Mientras que Ginés fue condenado a muerte, el resto de la compañía fue condenada al exilio, presenciando la ejecución de Ginés mientras abandonaban Roma.",https://teatromadrid.com/espectaculo/teatro-a-canone-lo-fingido-verdadero,Luca Vonella,Cinzia Laganà y Anna Fantozzi,"Luca Vonella, Anna Fantozzi, Ilaria Fantozzi, Francesca Vignali, Lucio Barbati, Beatrice Lorenzon, Tancredi Puleio, Francesco Maria Punzo y Valentina Anotnaros",Chiara Crupi y Eugenio Pane,,,Anna Fantozzi,,Teatro a Canone,"Teatro Municipal de Almagro, Ciudad Real",
Lope de Vega,,Lo fingido verdadero,2022,"Compañía Nacional de Teatro Clásico,CNTC",,1 de febrero de 2022,,"Junto con Hamlet, de Shakespeare, y El impromptu de Versalles, de Molière, Lo fingido verdadero construye una fascinante trilogía sobre el teatro dentro del teatro en el siglo XVII.

El teatro barroco insistió en la idea de que la vida es una representación teatral cuyos papeles están escritos por Dios, y nuestro talento como intérpretes será juzgado en función de los preceptos cristianos.

Las tres jornadas de la obra nos proponen una fascinante reflexión sobre el destino y sus aparentes arbitrariedades. El fingimiento al que obliga el arte teatral podrá convertirse en un viaje hacia la verdad, sea cual sea la for- ma en que queramos identificarla.

Escrita de manera simultánea a Arte nuevo de hacer comedias, Lope nos regala una de las reflexiones más fascinantes sobre la verdad en la vida y en los escenarios que ha producido el teatro de todos los tiempos.",https://teatroclasico.mcu.es/evento/lo-fingido-verdadero/,Lluís Homar,José Novoa,"Silvia Acosta, María Besant, Montse Díez, Israel Elejalde, Miguel Huertas, José Ramón Iglesias, Ignacio Jiménez, Álvaro de Juan, Jorge Merino, Aisa Pérez, Paco Pozo, Arturo Querejeta, Verónica Ronda, Aina Sánchez y Eva Trancón",Juan Gómez-Cornejo,,,Pier Paolo Álvaro,,Compañía Nacional de Teatro Clásico,Sala Princioa del Teatro de la Comedia de Madrid,
Lope de Vega,,La malcasada,2022,Tumbalobos Teatro,David Fernández 'Fabu',14 de julio de 2022,Festival internacional de Teatro Clásico de Almagro,"Feliciana una viuda sin dinero quiere casar a su hija con un buen partido. Don Juan enamorado de ella la pretende, pero finalmente se casará con el mejor postor, un viejo rico.

Partiendo de esta situación Lope construye una comedia delirante donde reflexiona con humor cómo la libertad de las mujeres queda supeditada al dinero y cómo los seres humanos nos convertimos en meros bienes de consumo. En nuestra versión los personajes de Lope tomarán la palabra para confrontar con el público del siglo XXI demostrando que las cosas no han cambiado demasiado en los cuatrocientos años que llevan representándola.",https://www.festivaldealmagro.com/programa/la-malcasada/,Ana Vélez,,"María Crespo, Rubén Riera, Alicia Rodríguez, David Fernández 'Fabu', Nerea Moreno, José Carlos Fernández y Carlos Arroyo",,,,Alberto Romo,,Tumbados Teatro,"Teatro Municipal de Almagro, Ciudad Real",
Lope de Vega,,La hermosa fea,2022,Diágoras Producciones,Daniel Acebes,17 de junio de 2022,Festival Clásicos en Alcalá,"Estela, una duquesa adicta a las fiestas, al móvil y a la
moda, rechaza todos los pretendientes y vive, junto su
prima Celia, en un mundo de glamour, compras y
tratamientos de estética donde nada es suficiente para
ella. Hasta que el príncipe Ricardo, pijo e influencer de la
alta sociedad, crea un plan para enamorarla junto a su fiel
amigo Octavio y su persona de confianza Julio,
haciéndose pasar por otra persona, Lauro, de clase social
más baja.
Esta comedia de enredo se presenta en una revisión muy
actualizada, donde los personajes, de alta sociedad, se
presentan adictos al teléfono, a las redes sociales y son
“influencers”. Una comedia llena de moda, bótox,
superficialidad y mucho neón.",https://www.diagorasproducciones.com/hermosafea,Gabriel García y Daniel Acebes,Diágoras,"Susana Garrote, Daniel Acebes, Alba Pérez, Gabriel García y Rubén Casteiva",Sergio Barreiro,,,Dani Maya,,Diágoras Producciones,"Centro Sociocultural Gilitos de Alcalá de Henares, Madrid",
Lope de Vega,,La discreta enamorada,2022,Karpas Tratro,,20 de mayo de 2022,,"La Discreta Enamorada es una de las comedias más inteligentes y divertidas de el Fénix de los Ingenios.

El autor se ganó ya en su época este título otorgado por sus propios compañeros, autores, en base a su extraordinaria capacidad y maestría a la hora de retratar el alma humana.

Encontrarnos con una pieza como esta a estas alturas significa reconciliarnos con nosotros mismos y con nuestra historia a través de la risa, la emoción, el equivoco, la sorpresa... Todo aquello que Lope maneja con absoluta maestría y que indudablemente revalida hoy aquél título.

Nosotros, desde nuestro humilde escenario, nos sentimos orgullosos de conducirles a través de esta intrincada historia donde el equívoco juega un papel determinante... Juntos dejémonos llevar por el inteligente engaño de cada situación, cada giro, cada propuesta... o por cada posible disparate.",https://teatrokarpas.com/show-item/la-discreta-enamorada/,Manuel Carcedo Sama,Alberto Romo,"Nerea Rojo, Chema Rojo, Carlos de Austria, Pilar Cervantes, Alberto Romo, Belén Orihuela y Javier del Arco",,,,Alberto Romo,,Karpas Teatro,Teatro Karpas de Madrid,
Lope de Vega,,La dama boba,2022,Fundación Siglo de Oro,Rodrigo Arribas,3 de julio de 2022,Festival internacional de Teatro Clásico de Almagro,"La gran contemporaneidad del teatro de Lope nos reta a devolver sus historias al espectador de hoy con la misma riqueza con las que fueron concebidas, y no como el dibujo de una sociedad pasada, sino como retratos de hombres y mujeres que podríamos ser nosotros.

La simplicidad necesaria en el salto de esta historia al escenario, su musicalidad poética y el permanente fluir de sus personajes, trasciende a la narrativa de La dama boba, convirtiéndose en su argumento principal, construyendo —tanto para el personaje como para el espectador— un equilibrio perfecto entre su fondo y su forma, entre nuestra razón y nuestro corazón, entre el deber y el querer.",https://www.festivaldealmagro.com/programa/la-dama-boba/,Rodrigo Arribas,Fundación Siglo de Oro,"Julio Hidalgo, Natalia Llorente, Macarena Molina, Juan Carlos Mesonero, Manuela Morales, Martín Puñal y Jesús Teyssiere",Rodrigo Arribas y Joaquín Yer,,,Fundación Siglo de Oror,Patricia Ruz,Fundación Siglo de Oro,"Corral de Comedias de Alcalá de Henares, Madrid",
Lope de Vega,,El perro del hortelano,2022,Stayin' alive,"Hugo Giachino, Elsa Mastrángelo y Juan Antonio Saraví",15 de julio de 2022,Festival internacional de Teatro Clásico de Almagro,"
Un director, su productora, un utilero y dos jóvenes actrices llegan al teatro donde estrenarán en un Festival una obra de Lope de Vega. Mientras esperan al resto del elenco, que supuestamente está de camino, inesperadamente reciben por mensaje de texto la noticia de que no han podido viajar por ser positivos en Covid-19.

El director resuelve hacer la obra de todos modos, sustituyendo a los que no llegaron consigo mismo, la productora, el utilero y las actrices secundarias.

El vestuario tampoco llegó… por lo que tendrán que improvisar. Con mínimos elementos escenográficos, más el diseño de mapping que tienen en un pen drive y música en vivo, los cinco se embarcan a representar la obra, doblando papeles en un ritmo endiablado.

En esta propuesta, con el estilo del teatro dentro del teatro, el espíritu del texto de Lope permanece intacto como sus versos.",https://www.festivaldealmagro.com/programa/el-perro-del-hortelano-4/,Hugo Giachino,,"Hugo Giachino, Josefina Frías, Elsa Mastrángelo, Pablo Mussetti y Cecilia Yáñez",Nicolás Amorín,,,Cristina Cruzado,,Myriam Caprile,"Casa Palacio de los Villarreal de Almagro, Ciudad Real",
Lope de Vega,,El marqués de las Navas,2022,Factoría Teatro,Gonzala Martín Scherman,19 de junio de 2022,Festival Clásicos de Alcalá,"Una obra inédita de Lope de Vega inspirada en hechos reales. Factoría Teatro produce en primicia un texto de Lope que no ha visto la luz hasta ahora. Sentimos una gran emoción y una enorme responsabilidad, pero, sobre todo, somos conscientes de la relevancia de este estreno, y nos sentimos orgullosos de ponerlo en pie. El Marqués de las Navas es comedia de enredos, con amores cortesanos, despechos amorosos y celos, y con un gracioso, Mendoza, y su alter ego femenino, Clara, que trufan la pieza de delicados momentos cómicos. Pero también es un drama sobrenatural, con duelos de espadas, huidas, muertos, y espectros. Y todo a través de personajes históricos y episodios reales de la vida de la corte de Felipe II con sus fiestas y galas. Un espectáculo con música, máscaras, danza y fantasmas. Factoría Teatro lanza una apuesta ambiciosa con seis magníficos intérpretes en escena, en un formato mayor, y con una producción cuidada que aúna música antigua y tradicional, elementos de danza, un rico vestuario de época y una esmerada apuesta visual.",https://www.factoriateatro.com/marques-de-navas/,,Arturo Martín,"Teresa Espejo, Lola Manzanares, Alberto Gómez Taboada, Iván Ugalde, Marcos León y Andrés Requejo.",David RoldánOru,Pepo Scherman,,Juan Ortega,,Gabriel Blanco,"Teatro Salón Cervantes de Alcalá de Henares, Madrid",
