id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat|lat|lon|uuid|tipo
1|Lope de Vega|La viuda valenciana|30 de marzo de 2023|Adrián Novella|La Valenciana||Teatro Rialto de Valencia||39.4710227|-0.3763002|8c26a5a9-e57e-4c64-975d-9b8e80a3d298|Nacional
2|Lope de Vega|Fuenteovejuna; Fuente Ovejuna|30 de junio de 2023|Mariano de Paco Serrano|Teatro Círculo||Corral Cervantes de Madrid||40.4160512|-3.6929536|ac74fcb0-b91f-420f-9f09-3bb3788229ea|Nacional
3|Lope de Vega|Lo fingido verdadero. Historia de San Ginés, mártir y comediante; La finzione veritiera|22 de julio de 2022|Luca Vonella|Teatro a Canone|Festival internacional de Teatro Clásico de Almagro|Teatro Municipal de Almagro, Ciudad Real||38.8903455|-3.7117528|13166cd7-ec08-47be-b9d9-d5d6ea22bb7f|Nacional
4|Lope de Vega|Lo fingido verdadero|1 de febrero de 2022|Lluís Homar|Compañía Nacional de Teatro Clásico,CNTC||Sala Princioa del Teatro de la Comedia de Madrid||40.4155336|-3.7003923|37740658-7b7b-476e-9b3c-6248589ab839|Nacional
5|Lope de Vega|La malcasada|14 de julio de 2022|Ana Vélez|Tumbalobos Teatro|Festival internacional de Teatro Clásico de Almagro|Teatro Municipal de Almagro, Ciudad Real||38.8903455|-3.7117528|1df33ca5-eb01-4ac2-9adb-0b2edcf729b0|Nacional
6|Lope de Vega|La hermosa fea|17 de junio de 2022|Gabriel García y Daniel Acebes|Diágoras Producciones|Festival Clásicos en Alcalá|Centro Sociocultural Gilitos de Alcalá de Henares, Madrid||40.5026152|-3.3581151|0d1d6dac-99f4-49a4-a437-34aec3252953|Nacional
7|Lope de Vega|La discreta enamorada|20 de mayo de 2022|Manuel Carcedo Sama|Karpas Tratro||Teatro Karpas de Madrid||40.410462|-3.697682|7037d241-06ee-425f-a5fa-f27bfa30bc41|Nacional
8|Lope de Vega|La dama boba|3 de julio de 2022|Rodrigo Arribas|Fundación Siglo de Oro|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias de Alcalá de Henares, Madrid||40.4822922|-3.3645504|ba49f4a3-16fb-4775-864f-340ba05f7335|Nacional
9|Lope de Vega|El perro del hortelano|15 de julio de 2022|Hugo Giachino|Stayin' alive|Festival internacional de Teatro Clásico de Almagro|Casa Palacio de los Villarreal de Almagro, Ciudad Real||38.8885331|-3.7148567|1e8cbc3e-0932-4f73-a71c-c3b8171ce60c|Nacional
10|Lope de Vega|El marqués de las Navas|19 de junio de 2022||Factoría Teatro|Festival Clásicos de Alcalá|Teatro Salón Cervantes de Alcalá de Henares, Madrid||40.4834571|-3.3661106|99fb2aac-36b7-4dba-b89e-023625cdf7ac|Nacional
11|Lope de Vega|El amor enamorado|22 de julio de 2022|Borja Rodríguez|Mic Producciones Teatrales|Festival internacional de Teatro Clásico de Almagro|Antigua Universidad Renacentista de Almadro, Ciudad Real||38.8915937|-3.7148261|a18923f1-d885-4f08-becd-8d3ee141a2d9|Nacional
12|Lope de Vega|Arte nuevo de hacer melindres en estos tiempos|28 de julio de 2022|Juan Polanco|Cía Kazo Teatro||Sala Nave 73 de Madrid||40.403178|-3.6987581|778d777e-11e9-40fd-9680-bde91ce47e67|Nacional
13|Lope de Vega|Peribáñez y el comendador de Ocaña|29 de enero de 2021|Eduardo Vasco|Noviembre Teatro||Teatro Calderón de Valladolid||41.6539837|-4.7246809|7018eb5e-fd79-4ecf-b3fd-c2a8b63855f3|Nacional
14|Lope de Vega|Los guanches de Tenerife y conquista de Canarias|24 de junio de 2021|Jesús Román|Cía. Garcilasos||||||a6220ab7-b846-4705-b470-dbacf2083fe6|Nacional
15|Lope de Vega|Las bizarrías de Belisa|23 de julio de 2021|Antonio Alcalde|Clásicos on the Road|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias||40.270002|-4.0476549|35ed50fd-01bf-4c71-a734-c10f0b980488|Nacional
16|Lope de Vega|La boba para los otros|8 de octubre de 2021|Rafael Rodríguez|2Rc Producciones|Festival iberoamericano del Siglo de Oro, Festival de Teatro Clásico de Olmedo|Teatro Pérez Galdós de Las Palmas de Gran Canaria||28.1034923|-15.4138437|513e8882-ee37-4543-971b-d9404b0f6561|Nacional
17|Lope de Vega|Fuenteovejuna, historia de un maltrato|16 de octubre de 2021|Marianella Morena|La Morena; Jóvenez Clásicos||Teatro del Títere de la Tía Norica de Cádiz||36.5321162|-6.2977584|e7c477f3-7ade-4304-a45e-7fb689540edc|Nacional
18|Lope de Vega|El perro del hortelano|2 de julio de 2021|Paco Mir|Vània Produccions; Sofía Aguilar Producciones de Arte|Festival internacional de Teatro Clásico de Almagro|Corral de Comedias de Almagro, Ciudad Real||38.8884394|-3.7119119|097a7bd4-4ee7-4fed-a0f5-7a80a042f679|Nacional
19|Lope de Vega|El perro del hortelano|3 de abril de 2021|Dominic Dromgoole|Fundación Siglo de Oro||Verde de los Teatros del Canal de Madrid||40.438279|-3.7051836|22222faa-e9eb-4517-a337-2950c0dc6fda|Nacional
20|Lope de Vega|El caballero de Olmedo|16 de junio de 2021|Pedro Luis López Bellot|Producciones La Barraca & Cía.|Festival de Teatro Clásico de Cáceres|Plaza de las Veletas de Cáceres||39.4732379|-6.3702347|40885a14-590f-4a49-86a8-913545c92714|Nacional
21|Lope de Vega|El animal de Hungría|12 de junio de 2021|Ernesto Arias|Colectivo Allatok; EscénaTe||Corral de Comedias de Alcalá de Henares, Madrid||40.4822922|-3.3645504|268799f5-4004-48fa-8baf-2ec02bad0a3f|Nacional
22|||||||||||ed4b2ff7-3e9a-4efa-89e3-37c11d3682da|Nacional
23|Lope de Vega|Distrito Fuenteovejuna|Verano 2020|Francisco Valcarce|Movimiento Sempiterno||???||40.4422656|-3.7329769|32dc736e-cde8-4039-969b-b24d0da6f509|Nacional
24|Lope de Vega|Canciones de Olmedo|15 de noviembre de 2020|José Carlos Cuevas|Jóvenes Clásicos|Festival LA ESCENA 2020|Online. Grabado en el Teatro del Soho, Málaga||40.4225603|-3.71184|f04203a1-3816-4c54-adda-c1dad683aa55|Nacional
25|Lope de Vega|Arte nuevo de hacer teatro para jóvenes de nuestro tiempo; Eco y Narciso; Valor, agravio y mujer; Fuenteovejuna|4 de marzo de 2021|Mariano Estudillo|Joven Compañía Nacional de Teatro Clásico, JCNTC|Festival de Teatro Clásico de Almagro|sala Tirso de Molina del Teatro de la Comedia de Madrid||40.4155336|-3.7003923|6ac2d222-489f-4908-833f-f0c1f5438f3b|Nacional
26|Lope de Vega|Peribáñez y el comendador de Ocaña|15 de septiembre de 2020|del Colectivo|Dragoi Zuria||||||e214ab66-36cf-4a66-8a9b-d163ab1693bb|Nacional
27|Lope de Vega|Ni come, ni deja comer|18 de julio de 2020|José Luis Pineda Ortega|Asociación Cultural Teatral A Escena|Festival de Teatro Clásico de Almagro|Dentro de la programación de Barroco Infantil Online del Festival de Teatro Clásico de Almagro||38.8884394|-3.7119119|a5f8a40e-a817-423c-9b6d-3bf34167de87|Nacional
28|Lope de Vega|Mujeres del Siglo de Oro|||????????????||||||f40efbbc-9756-4e23-8620-70f5096b1c51|Nacional
29|Lope de Vega|La selva sin amor|18 de julio de 2020|Jesús Caballero|La Máquina Real|Festival de Teatro Clásico de Almagro|Palacio de los Oviedo de Almagro||38.8885331|-3.7148567|5d84f059-be12-4782-86cd-667151ebc473|Nacional
30|Lope de Vega|La discreta enamorada|19 de julio de 2020|Javier Mañón|Corrales de Comedias Teatro S.L|Festival de Teatro Clásico de Almagro|Palacio de los Oviedo de Almagro||38.8885331|-3.7148567|0e4178d2-8085-479f-a09d-446a5f835a4b|Nacional
31|Lope de Vega|El discreto enamorao|29 de enero de 2020|Inés Muñoz|Las monstruas|Ciclo Clásicos en Enero, Murcia|Teatro Circo Murcia||37.9877971|-1.1281103|d16edd7a-6306-4e85-8f8b-2baf5d432719|Nacional
32|Lope de Vega|Castelvines y Monteses|16 de octubre de 2020|Sergio Peris-Mencheta|Barco Pirata; Compañía Nacional de Teatro Clásico.CNTC||Logroño||42.4602928|-2.4483627|f5fd9c04-6fa0-4f37-a1f7-b8024dce5a1a|Nacional
33|Lope de Vega|Todas las guerras|||Joven Compañía Nacional de Teatro Clásico, JCNTC||||||c634c1fa-bf3a-4bde-88d8-12f800ba82e3|Nacional
34|Lope de Vega|María Estuardo. Corona trágica|27 de julio de 2019|Manuel Canseco|Compañía Manuel Canseco|Festival de Teatro Clásico de Almagro|Almagro, Ciudad Real||38.8888239|-3.7111408|45a55ed2-5b8d-4290-be21-eeac24391844|Nacional
35|Lope de Vega|Los locos de Valencia|15 de febrero de 2019|Antonio Algarra|Compañía Profesional de la Escuela Nacional de Arte Teatral, INBAL||La Corrala del Mitote, México||19.3542289|-99.1412521|ea7d8512-109c-4a99-bf87-063c8a60f176|Nacional
36|Lope de Vega|La viuda valenciana|12 de julio de 2019|Borja Rodríguez|Mic Producciones Teatrales|Festival de Teatro Clásico de Almagro|Palacio de los Oviedo de Almagro (Ciudad Real)||38.8885331|-3.7148567|5a8cc4ca-fc6d-4d78-aea0-06a8573e2dc7|Nacional
37|Lope de Vega|La dama boba|8 de julio de 2019|Antonio Alcalde|Clásicos on the Road|Festival de Teatro Clásico de Almagro|Ermita de la Magdalena de Almagro (Ciudad Real)||38.8844811|-3.7098712|28f33682-f799-4bfd-9a5d-d6658e335927|Nacional
38|Lope de Vega|La dama boba|26 de mayo de 2019|Victoria Savelieva|Olympia Metropolitana S.A||TAC Catarroja, Valencia||39.4034449|-0.4095795|5dfee58c-a281-4095-a56e-d199513d5c2e|Nacional
39|Lope de Vega|Fuenteovejuna o el coraje de las mujeres; Fuenteovejuna, el valor de las mujeres|12 de julio de 2019|Vagba Oboud de Sales y Luis Marqués|Alma Production|Festival de Teatro Clásico de Almagro|Patio de Fúcares de Almagro (Ciudad Real)||38.8899191|-3.709986|72f95fcd-aa0a-4825-baff-eec8b2b0f3c9|Nacional
40|Lope de Vega|El perro del hortelano|5 de julio de 2019|José Vicente Gómez|El Taular Teatro|Festival de Teatro Clásico de Almagro|En un coche Mercedes en Almagro||40.4604446|-3.7117905|e042fda1-fa4a-4d39-a7db-eb8c1135583f|Nacional
41|Lope de Vega|El perro del hortelano|10 de agosto de 2019|Iker Ortiz de Zárate|Ortzai||||||696d648d-c248-45ca-8e76-acc47b681ae2|Nacional
42|Lope de Vega|Dos tablas y una pasión|8 de junio de 2019|Rafael Álvarez 'El Brujo'|Producciones El Brujo|Festival de Teatro Clásico de Cáceres|Sala Principal del Gran Teatro de Cáceres||39.4731946|-6.3754623|653dfa24-a24f-4b1c-bd48-d1106d75f30d|Nacional
43|Lope de Vega|La Gatomaquia|19 de julio de 2018|Laura Ferrer|La Coquèlicot|Festival de Teatro Clásico de Almagro|Silo de Almagro (Ciudad Real)||38.8942052|-3.7077272|72f03d03-0655-405f-bb7d-4cea3a52e67e|Nacional
44|Lope de Vega|La discreta enamorada|27 de julio de 2018|Santiago Doria|Compañía La Discreta Enamorada|Festival de Teatro Clásico de Almagro|Corral de Comedias de Almagro (Ciudad Real)||38.8884394|-3.7119119|13da4c4e-cc08-4383-8d3e-2d4317d377d9|Nacional
45|Lope de Vega|El perro del hortelano||Alberto Gómez Taboada|Hilanderas Producciones||||||94e0ffa4-cd42-4fad-b557-f2f70df14d29|Nacional
